Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10,Skill11,Skill12,Skill13,Surplus,persoon1,persoon2,persoon3,persoon4,persoon5,persoon6,Aantalpersonen,sum
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,20,20,20,20,20,1,3
1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,20,20,20,20,20,1,3
0,0,0,0,1,0,1,1,0,0,1,0,1,0,4,20,20,20,20,20,1,5
1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,20,20,20,20,20,1,6
1,0,0,0,0,1,0,1,0,1,1,0,1,0,3,20,20,20,20,20,1,6
1,1,1,0,0,0,1,0,1,1,0,0,0,0,5,20,20,20,20,20,1,6
1,0,1,0,0,0,0,1,1,1,1,0,0,0,6,20,20,20,20,20,1,6
1,1,0,0,0,0,1,1,1,0,1,0,0,0,8,20,20,20,20,20,1,6
1,0,0,1,0,0,0,1,1,1,0,1,1,0,9,20,20,20,20,20,1,7
1,0,0,1,1,1,1,0,1,0,0,0,1,0,11,20,20,20,20,20,1,7
1,0,1,0,0,0,0,1,1,1,1,1,1,0,7,20,20,20,20,20,1,8
1,0,1,1,0,0,0,1,0,1,1,1,1,0,12,20,20,20,20,20,1,8
1,1,1,1,1,1,0,1,1,0,1,0,1,0,2,20,20,20,20,20,1,10
1,1,1,1,1,1,1,1,1,1,1,1,1,0,13,20,20,20,20,20,1,13
1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,20,20,20,20,20,1,13
1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,20,20,20,20,20,1,13
1,0,0,0,0,0,0,1,0,1,0,1,0,2,10,0,20,20,20,20,2,4
1,0,0,0,0,1,0,1,0,1,1,0,1,3,10,3,20,20,20,20,2,6
1,0,1,0,0,0,0,1,1,1,1,0,0,3,10,6,20,20,20,20,2,6
0,0,0,0,1,0,1,1,0,1,1,1,1,1,4,0,20,20,20,20,2,7
1,0,0,0,1,0,1,1,0,1,1,0,1,1,10,4,20,20,20,20,2,7
1,0,0,0,0,1,1,1,1,1,0,1,0,2,1,0,20,20,20,20,2,7
1,0,0,0,0,1,0,1,0,1,1,1,1,2,3,0,20,20,20,20,2,7
1,0,1,0,0,0,0,1,1,1,1,1,0,2,6,0,20,20,20,20,2,7
1,0,0,0,0,1,1,1,1,1,0,1,0,2,10,1,20,20,20,20,2,7
1,1,1,0,0,0,1,1,1,1,0,0,0,2,10,5,20,20,20,20,2,7
1,1,0,0,0,0,1,1,1,1,1,0,0,2,10,8,20,20,20,20,2,7
1,0,0,1,0,0,0,1,1,1,0,1,1,3,9,0,20,20,20,20,2,7
1,0,0,1,0,0,0,1,1,1,0,1,1,3,10,9,20,20,20,20,2,7
1,1,1,0,0,0,1,1,1,1,0,1,0,1,5,0,20,20,20,20,2,8
1,1,0,0,0,0,1,1,1,1,1,1,0,1,8,0,20,20,20,20,2,8
1,0,0,0,1,1,1,1,0,1,1,0,1,3,4,3,20,20,20,20,2,8
1,0,1,0,0,0,0,1,1,1,1,1,1,3,7,0,20,20,20,20,2,8
1,1,0,0,1,0,1,1,1,0,1,0,1,3,8,4,20,20,20,20,2,8
1,0,1,0,0,0,0,1,1,1,1,1,1,3,10,7,20,20,20,20,2,8
1,0,1,1,0,0,0,1,0,1,1,1,1,3,12,0,20,20,20,20,2,8
1,0,1,1,0,0,0,1,0,1,1,1,1,3,12,10,20,20,20,20,2,8
1,0,1,0,0,1,0,1,1,1,1,0,1,4,6,3,20,20,20,20,2,8
1,1,1,0,0,0,1,1,1,1,1,0,0,4,6,5,20,20,20,20,2,8
1,1,0,0,0,1,1,1,1,0,1,1,0,4,8,1,20,20,20,20,2,8
1,1,1,0,0,0,1,1,1,1,1,0,0,4,8,5,20,20,20,20,2,8
1,1,1,0,0,0,1,1,1,1,1,0,0,4,8,6,20,20,20,20,2,8
1,0,1,0,0,0,0,1,1,1,1,1,1,6,7,6,20,20,20,20,2,8
1,0,0,1,1,1,1,1,1,1,0,0,1,1,11,10,20,20,20,20,2,9
1,0,0,0,1,1,1,1,1,0,1,1,1,2,4,1,20,20,20,20,2,9
1,0,1,0,1,0,1,1,1,1,1,0,1,2,6,4,20,20,20,20,2,9
1,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,20,20,20,20,2,9
1,1,1,0,0,1,1,1,1,1,0,1,0,3,5,1,20,20,20,20,2,9
1,0,1,0,0,1,1,1,1,1,1,1,0,3,6,1,20,20,20,20,2,9
1,1,0,0,0,1,1,1,1,1,1,0,1,3,8,3,20,20,20,20,2,9
1,0,0,1,1,1,1,1,1,0,1,0,1,3,11,4,20,20,20,20,2,9
1,0,0,1,0,1,1,1,1,1,0,1,1,4,9,1,20,20,20,20,2,9
1,0,0,1,0,1,0,1,1,1,1,1,1,4,9,3,20,20,20,20,2,9
1,0,1,1,0,0,0,1,1,1,1,1,1,4,9,6,20,20,20,20,2,9
1,0,0,1,1,1,1,1,1,0,0,1,1,4,11,1,20,20,20,20,2,9
1,0,1,0,0,1,0,1,1,1,1,1,1,5,7,3,20,20,20,20,2,9
1,0,1,1,0,1,0,1,0,1,1,1,1,5,12,3,20,20,20,20,2,9
1,0,1,1,0,0,0,1,1,1,1,1,1,5,12,6,20,20,20,20,2,9
1,0,1,1,0,0,0,1,1,1,1,1,1,6,9,7,20,20,20,20,2,9
1,0,1,1,0,0,0,1,1,1,1,1,1,6,12,9,20,20,20,20,2,9
1,0,1,1,0,0,0,1,1,1,1,1,1,7,12,7,20,20,20,20,2,9
1,0,0,1,1,1,1,1,1,1,0,1,1,0,11,0,20,20,20,20,2,10
1,1,1,0,1,0,1,1,1,1,1,0,1,1,5,4,20,20,20,20,2,10
1,1,1,0,0,1,1,1,1,1,1,0,1,2,5,3,20,20,20,20,2,10
1,0,0,1,1,0,1,1,1,1,1,1,1,2,9,4,20,20,20,20,2,10
1,0,1,0,1,0,1,1,1,1,1,1,1,3,7,4,20,20,20,20,2,10
1,1,1,1,0,0,1,1,1,1,0,1,1,3,9,5,20,20,20,20,2,10
1,1,0,1,0,0,1,1,1,1,1,1,1,3,9,8,20,20,20,20,2,10
1,0,0,1,1,1,1,1,1,1,1,0,1,3,11,3,20,20,20,20,2,10
1,1,1,1,1,1,1,0,1,1,0,0,1,3,11,5,20,20,20,20,2,10
1,1,0,1,1,1,1,1,1,0,1,0,1,3,11,8,20,20,20,20,2,10
1,0,1,1,1,0,1,1,0,1,1,1,1,3,12,4,20,20,20,20,2,10
1,0,1,0,0,1,1,1,1,1,1,1,1,4,7,1,20,20,20,20,2,10
1,1,1,0,0,0,1,1,1,1,1,1,1,4,7,5,20,20,20,20,2,10
1,1,1,0,0,0,1,1,1,1,1,1,1,4,8,7,20,20,20,20,2,10
1,0,0,1,1,1,1,1,1,1,0,1,1,4,11,9,20,20,20,20,2,10
